Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccDiff,Att8EstSQRT,EbaccActSQRT
4.3,-1.02,5.5,5.5,0.03,5.2,4,-1.2,5,-2.12,2.3021728866442674,1.6733200530681511
0.5,-2.99,3.9,2,-1.86,3.3,0,-3.28,2.9,-2.86,1.8708286933869707,0
5.5,0.98,4.8,4,-0.81,4.3,5.5,1.15,4.1,0.43,2.1213203435596424,2.1213203435596424
3.8,-0.11,4.2,5.5,1.31,3.7,4,0.32,3.3,-1.64,1.9748417658131499,1.3038404810405297
1.8,-1.37,3.6,3,-0.57,2.9,0,-2.92,2.5,-1.84,1.7888543819998317,0.8366600265340756
4.4,0.35,4.4,5.5,1.13,3.9,3,-0.88,3.5,0.48,2,2
4.7,-0.87,5.7,5.5,-0.24,5.5,4,-1.54,5.3,-1.99,2.3664319132398464,1.816590212458495
2.7,-0.47,3.6,3,-0.57,2.9,4,1.08,2.5,-0.5,1.7888543819998317,1.4142135623730951
1.2,-1.05,2.7,3,0.25,1.8,0,-1.83,1.6,-1.24,1.51657508881031,0.5477225575051661
2.9,-0.82,4,4,-0.03,3.5,3,-0.47,3.1,-1.58,1.9235384061671346,1.224744871391589
4.5,-0.77,5.5,4,-1.47,5.2,5.5,0.3,5,-0.46,2.3021728866442674,2.1213203435596424
4.7,0.6,4.4,5.5,1.13,3.9,4,0.12,3.5,0.98,2,2.1213203435596424
1.6,-0.5,2.5,2,-0.51,1.6,0,-1.56,1.4,-0.19,1.4142135623730951,1.0954451150103321
4.1,0.56,3.9,7,3.14,3.3,3,-0.28,2.9,-1.03,1.8708286933869707,1.3416407864998738
6,-0.22,6.2,7,0.78,6.3,5.5,-0.79,6,-0.51,2.4899799195977463,2.345207879911715
1.6,-0.06,2.1,3,0.92,1.1,0,-1.1,1.1,-0.39,1.3038404810405297,0.8366600265340756
4,0.14,4.2,4,-0.19,3.7,3,-0.68,3.3,0.69,1.9748417658131499,2
4.5,-0.57,5.3,4,-1.27,4.9,5.5,0.61,4.7,-0.68,2.23606797749979,2
4.2,0.29,4.2,4,-0.19,3.7,4,0.32,3.3,0.69,1.9748417658131499,2
3.8,1.02,3.2,4,0.81,2.4,3,0.63,2,0.33,1.6431676725154984,1.51657508881031
3.8,-0.25,4.4,4,-0.37,3.9,4,0.12,3.5,-0.69,2,1.6733200530681511
2,-2.57,4.8,1.5,-3.31,4.3,3,-1.35,4.1,-2.74,2.1213203435596424,1.140175425099138
